Search interest in each Judy Blume book from 5/27/15-6/2/15,
Book,Search interest
In the Unlikely Event,100.00
"Are You There God? It's Me, Margaret",85.06
Tales of a Fourth Grade Nothing,73.82
Tiger Eyes,64.58
Superfudge,37.83
Freckle Juice,36.39
Forever,34.78
Summer Sisters,26.10
Fudge-a-mania,13.17
Deenie,12.61
Double Fudge,12.21
Blubber,11.33
Otherwise Known as Sheila the Great,8.59
Wifey,7.71
"Then Again, Maybe I Won't",5.70
It's Not the End of the World,5.14
Just As Long As We're Together,4.34
The Pain and The Great One,3.61
The One in the Middle is the Green Kangaroo,3.37
Smart Women,3.37
Starring Sally J. Freedman As Herself,2.73
Iggie's House,1.93
"Here's to You, Rachel Robinson",0.88
Soupy Saturdays with the Pain & the Great One,0.48
Places I Never Meant to Be,0.40
"Going, Going, Gone! with the Pain & the Great One",0.08
Friend or Fiend? with the Pain & the Great One,0.08
Cool Zone with the Pain & the Great One,0.00
Letters to Judy: What Your Kids Wish They Could Tell You,0.00