"Top Cities Searching for Jeb Bush, 6/8-6/14",
City,Search Interest
Chappaqua (New York United States),100.00
Lexington (Massachusetts United States),90.07
Havertown (Pennsylvania United States),87.85
Fountainebleau (Florida United States),75.96
Coral Gables (Florida United States),50.92
Meridian (Idaho United States),48.29
Hyattsville (Maryland United States),43.67
Tallahassee (Florida United States),38.39
Bethesda (Maryland United States),37.91
McLean (Virginia United States),35.45
Alexandria (Virginia United States),34.97
Kendall (Florida United States),34.01
Miami (Florida United States),30.46
Centreville (Virginia United States),29.45
Deerfield Beach (Florida United States),28.52
Arlington (Virginia United States),27.98
Palm Beach Gardens (Florida United States),27.83
Boca Raton (Florida United States),27.66
Walnut Creek (California United States),27.56
Washington (United States),27.31
Fort Myers (Florida United States),26.73
Fairfax (Virginia United States),26.48
Tysons Corner (Virginia United States),26.43
College Station (Texas United States),25.29
Centertown (Missouri United States),24.92
Burlington (Vermont United States),24.34
West Palm Beach (Florida United States),24.07
Kirkland (Washington United States),23.67
St. Petersburg (Florida United States),22.69
Fort Lauderdale (Florida United States),22.64
Wellington (Florida United States),21.06
Silver Spring (Maryland United States),20.13
Doral (Florida United States),20.09
Santa Monica (California United States),19.93
Athens (Georgia United States),18.91
Stamford (Connecticut United States),18.81
Yonkers (New York United States),18.75
Bay Lake (Florida United States),18.48
Bellevue (Washington United States),18.45
Tampa (Florida United States),17.93
Plantation (Florida United States),17.75
Panama City Beach (Florida United States),17.44
Iowa City (Iowa United States),17.42
San Rafael (California United States),17.30
Berkeley (California United States),17.28
Manchester (New Hampshire United States),17.03
Wilmington (North Carolina United States),16.96
Eugene (Oregon United States),16.66
New Rochelle (New York United States),16.55
Marietta-Alderwood (Washington United States),16.20